chord,pitch,onset,duration,velocity,effective_duration,is_black,desired,actual,success
A7,69,3.83,1.0,85,0.1,False,,1,
A7,78,3.99,1.0,79,0.1,False,1.0,1,True
A7,79,4.13,1.0,83,0.31,False,1.0,1,True
A7,90,4.33,1.0,92,0.34,False,1.0,1,True
A7,74,4.8,1.0,96,0.47,False,-1.0,1,False
A7,73,4.95,1.0,113,0.62,False,-1.0,1,False
A7,69,5.1,1.0,94,0.29,False,-1.0,1,False
A7,64,5.27,1.0,90,0.32,False,-1.0,1,False
A7,66,5.96,1.0,90,0.69,False,0.0,1,False
A7,67,6.1,1.0,94,0.83,False,1.0,1,True
A7,76,6.27,1.0,75,0.31,False,1.0,1,True
A7,77,6.42,1.0,91,0.32,False,1.0,1,True
A7,76,6.73,1.0,70,0.46,False,-1.0,1,False
A7,74,6.91,1.0,83,0.49,False,-1.0,1,False
A7,76,7.06,1.0,77,0.32,False,1.0,1,True
A7,71,7.22,1.0,81,0.17,False,0.0,1,False
A7,61,7.67,1.0,83,0.45,False,-1.0,1,False
A7,67,7.92,1.0,75,0.25,False,0.0,1,False
A7,66,8.12,1.0,94,0.2,False,0.0,1,False
A7,67,8.31,1.0,90,0.19,False,0.0,1,False
A7,71,8.5,1.0,96,0.19,False,0.0,1,False
A7,69,8.71,1.0,115,0.21,False,0.0,1,False
A7,61,9.4,1.0,96,0.68,False,0.0,1,False
A7,71,9.58,1.0,92,0.18,False,0.0,1,False
D7,66,13.06,1.0,117,3.48,False,0.0,1,False
D7,64,13.44,1.0,102,0.38,False,0.0,1,False
D7,66,13.68,1.0,127,0.24,False,0.0,1,False
D7,72,14.09,1.0,125,0.41,False,1.0,1,True
D7,64,15.65,1.0,125,1.56,False,-1.0,1,False
D7,67,15.89,1.0,85,1.79,False,1.0,1,True
A7,78,16.06,1.0,84,0.41,False,1.0,1,True
A7,79,16.33,1.0,91,0.27,False,1.0,1,True
A7,78,16.75,1.0,89,0.69,False,-1.0,1,False
A7,76,17.61,1.0,115,0.86,False,-1.0,1,False
A7,77,17.7,1.0,102,0.09,False,1.0,1,True
A7,76,17.75,1.0,71,0.13,False,-1.0,1,False
A7,71,17.92,1.0,98,0.17,False,-1.0,1,False
A7,78,18.21,1.0,113,0.3,False,1.0,1,True
A7,76,18.5,1.0,86,0.29,False,-1.0,1,False
A7,77,18.7,1.0,86,0.2,False,1.0,1,True
A7,72,19.03,1.0,112,0.53,True,-1.0,1,False
A7,58,19.83,1.0,116,0.8,True,0.0,-1,False
A7,65,19.97,1.0,97,0.94,True,1.0,1,True
A7,63,20.11,1.0,95,0.14,True,-1.0,1,False
A7,64,20.2,1.0,101,0.22,True,1.0,1,True
A7,56,20.3,1.0,85,0.1,True,-1.0,-1,True
A7,57,20.37,1.0,92,0.07,True,1.0,-1,False
A7,53,20.47,1.0,66,0.09,True,-1.0,-1,True
A7,70,20.55,1.0,87,0.18,True,1.0,1,True
A7,68,20.67,1.0,95,0.12,True,-1.0,1,False
A7,69,20.99,1.0,87,0.32,True,1.0,1,True
A7,77,21.2,1.0,103,0.21,True,0.0,1,False
A7,77,21.33,1.0,79,0.13,True,0.0,1,False
E7,66,21.53,1.0,97,0.2,True,0.0,1,False
E7,67,21.7,1.0,103,0.17,True,0.0,1,False
E7,69,21.87,1.0,103,0.17,True,0.0,1,False
E7,73,22.05,1.0,116,0.18,True,0.0,1,False
E7,72,22.27,1.0,125,0.22,True,0.0,1,False
D7,64,24.07,1.0,117,1.8,False,-1.0,1,False
D7,62,24.36,1.0,125,0.29,False,0.0,1,False
D7,60,24.74,1.0,113,0.38,False,0.0,0,True
D7,69,24.99,1.0,91,0.62,False,1.0,1,True
D7,74,25.43,1.0,127,0.44,False,1.0,1,True
D7,64,25.79,1.0,120,0.36,False,-1.0,1,False
D7,59,26.19,1.0,117,0.39,False,-1.0,-1,True
D7,71,26.45,1.0,100,0.27,False,1.0,1,True
A7,78,26.8,1.0,80,0.61,False,1.0,1,True
A7,67,27.15,1.0,65,0.35,False,-1.0,1,False
E7,71,29.38,1.0,65,2.23,False,0.0,1,False
E7,68,29.4,1.0,35,2.25,False,-1.0,1,False
E7,64,29.62,1.0,46,0.21,False,0.0,1,False
E7,59,29.84,1.0,79,0.45,False,-1.0,-1,True
E7,73,30.71,1.0,106,0.87,False,0.0,1,False
E7,74,30.87,1.0,89,1.03,False,1.0,1,True
E7,85,31.05,1.0,56,0.34,False,1.0,1,True
E7,74,31.22,1.0,77,0.35,False,1.0,1,True
E7,85,31.4,1.0,91,0.35,False,1.0,1,True
E7,71,31.57,1.0,86,0.35,False,-1.0,1,False
E7,66,31.69,1.0,62,0.29,False,-1.0,1,False
E7,62,31.85,1.0,87,0.28,False,-1.0,1,False
A7,66,32.04,1.0,52,0.35,False,-1.0,1,False
A7,64,32.25,1.0,90,0.4,False,-1.0,1,False
A7,57,32.47,1.0,36,0.43,False,-1.0,-1,True
A7,62,33.27,1.0,117,0.8,False,0.0,1,False
A7,64,33.42,1.0,86,0.95,False,1.0,1,True
A7,73,33.61,1.0,77,0.34,False,1.0,1,True
A7,76,33.75,1.0,86,0.33,False,1.0,1,True
A7,73,34.01,1.0,86,0.4,False,-1.0,1,False
A7,79,34.78,1.0,88,0.77,False,0.0,1,False
A7,73,35.05,1.0,106,0.27,False,0.0,1,False
A7,64,35.96,1.0,122,0.91,False,0.0,1,False
A7,76,36.12,1.0,98,1.07,False,1.0,1,True
A7,73,36.27,1.0,90,0.15,False,-1.0,1,False
A7,76,36.43,1.0,84,0.31,False,1.0,1,True
A7,71,36.59,1.0,89,0.15,False,-1.0,1,False
A7,67,36.7,1.0,92,0.27,False,-1.0,1,False
A7,66,36.88,1.0,78,0.3,False,-1.0,1,False
A7,67,37.05,1.0,80,0.35,False,1.0,1,True
A7,76,37.25,1.0,33,0.37,False,1.0,1,True
A7,77,37.4,1.0,70,0.35,False,1.0,1,True
A7,78,37.6,1.0,84,0.36,False,1.0,1,True
A7,76,37.83,1.0,86,0.23,False,0.0,1,False
A7,73,38.56,1.0,78,0.73,False,-1.0,1,False
A7,79,38.75,1.0,89,0.92,False,1.0,1,True
A7,78,38.92,1.0,77,0.36,False,-1.0,1,False
A7,79,39.12,1.0,88,0.37,False,1.0,1,True
A7,78,39.32,1.0,75,0.4,False,-1.0,1,False
A7,79,39.5,1.0,87,0.38,False,1.0,1,True
A7,78,39.65,1.0,72,0.33,False,-1.0,1,False
A7,79,39.81,1.0,89,0.31,False,1.0,1,True
A7,78,39.96,1.0,88,0.15,False,-1.0,1,False
A7,79,40.12,1.0,96,0.31,False,1.0,1,True
A7,73,40.31,1.0,79,0.35,False,-1.0,1,False
A7,69,40.47,1.0,94,0.35,False,-1.0,1,False
A7,78,41.88,1.0,94,1.41,False,1.0,1,True
A7,76,41.94,1.0,56,1.47,False,-1.0,1,False
A7,73,42.19,1.0,85,0.32,False,-1.0,1,False
A7,64,42.38,1.0,75,0.44,False,-1.0,1,False
D7,69,42.87,1.0,71,0.49,False,-1.0,1,False
